season,reception,passing_yards,pass_touchdown,rush_touchdown,interception,fumble_lost,rushing_yards,two_pt,receiving_yards,receive_touchdown,id,fantasy_pts
2004,22,0.0,0.0,4.0,0.0,1.0,509.0,0.0,169.0,0.0,00-0015091,111.80000000000001
2005,12,0.0,0.0,3.0,0.0,2.0,659.0,0.0,46.0,0.0,00-0015091,96.5
1999,62,0.0,0.0,13.0,0.0,4.0,1553.0,0.0,586.0,4.0,00-0008241,369.90000000000003
2000,63,0.0,0.0,13.0,0.0,5.0,1709.0,1.0,594.0,5.0,00-0008241,393.29999999999995
2001,24,0.0,0.0,3.0,0.0,2.0,662.0,1.0,193.0,0.0,00-0008241,125.5
2002,61,0.0,0.0,2.0,0.0,2.0,989.0,1.0,354.0,1.0,00-0008241,211.3
2003,51,0.0,0.0,11.0,0.0,3.0,1257.0,0.0,292.0,0.0,00-0008241,265.9
2004,51,0.0,0.0,9.0,0.0,2.0,1548.0,1.0,483.0,0.0,00-0008241,306.1
2005,44,0.0,0.0,13.0,0.0,1.0,1506.0,0.0,337.0,1.0,00-0008241,310.3
2006,38,0.0,0.0,6.0,0.0,3.0,1159.0,0.0,217.0,0.0,00-0008241,205.60000000000002
2007,25,0.0,0.0,7.0,0.0,0.0,1232.0,0.0,196.0,0.0,00-0008241,209.79999999999998
2008,12,0.0,0.0,3.0,0.0,2.0,514.0,1.0,85.0,0.0,00-0008241,87.9
2009,3,0.0,0.0,0.0,0.0,0.0,125.0,0.0,19.0,0.0,00-0008241,17.4
1999,0,4135.0,26.0,2.0,15.0,3.0,73.0,1.0,0.0,0.0,00-0010346,254.7
2000,0,4413.0,33.0,1.0,15.0,2.0,116.0,1.0,0.0,0.0,00-0010346,294.12
2001,0,4131.0,26.0,4.0,23.0,3.0,157.0,2.0,0.0,0.0,00-0010346,260.94
2002,0,4200.0,27.0,2.0,19.0,2.0,148.0,2.0,0.0,0.0,00-0010346,264.8
2003,1,4267.0,29.0,0.0,10.0,1.0,29.0,1.0,-2.0,0.0,00-0010346,270.38
2004,0,4557.0,49.0,0.0,10.0,1.0,38.0,0.0,0.0,0.0,00-0010346,360.08
2005,0,3747.0,28.0,0.0,10.0,2.0,45.0,0.0,0.0,0.0,00-0010346,242.38
2006,0,4397.0,31.0,4.0,9.0,1.0,36.0,1.0,0.0,0.0,00-0010346,309.48
2007,0,4040.0,31.0,3.0,14.0,1.0,-5.0,1.0,0.0,0.0,00-0010346,275.1
2008,0,4002.0,27.0,1.0,12.0,0.0,21.0,1.0,0.0,0.0,00-0010346,254.18000000000004
2009,0,4500.0,33.0,0.0,16.0,0.0,-13.0,0.0,0.0,0.0,00-0010346,278.7
